id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
46;RS-22215 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-29;70000
47;RS-22216 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-2;500000
48;RS-22216 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-2;500000
49;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5-1-1;1000000
50;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5-1-2-2;600000
51;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Stempel;LKS-5-1-2C;200000
52;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5-1-3-34;450000
53;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKY-5-1-22;300000
54;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5-1-1;1000000
55;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5-2-1-2;600000
56;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-2;700000
57;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5-2-2-34;300000
58;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-23;600000
59;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-2;400000
60;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-17;1000000
61;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-23;600000
62;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-28;1000000
63;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-27;70000
64;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-48;80000
65;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4/1-13;600000
66;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-5;600000
67;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKY-5-4-2;300000
68;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-34;40000
69;RS-22216 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-26;70000
70;RS-22217 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-21;500000
71;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-5;1000000
72;RS-22217 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-30;500000
73;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-31;300000
74;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-27C;210000
75;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-27;210000
76;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-24;300000
77;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-5;1000000
78;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-29;200000
79;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-26;500000
80;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-27;140000
81;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-25;600000
82;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-31;250000
83;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-21;1000000
84;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-24;600000
85;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-32;1000000
86;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-49Y;40000
87;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-31;500000
88;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-27;300000
89;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4/1-18;600000
90;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-9;600000
91;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-43A;40000
92;RS-22217 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-35;40000
93;RS-22311 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-9;500000
94;RS-22311 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-8;500000
95;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-5;1000000
96;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-9;200000
97;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-9C;180000
