id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
232;RS-22218 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-6-4;500000
233;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Gniazdo;LKm-6/1/3-25X;250000
234;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-6/1/2-25;250000
235;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Stempel;LKs-6/1-4C;150000
236;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wypychacz;LKw-6/1-11;500000
237;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-6/1-4;300000
238;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Gniazdo;LKm-6/2/2-25X;200000
239;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-6/2/1-22;250000
240;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Stempel;LKs-6/2-24;500000
241;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wypychacz;LKw-6/1-11;500000
242;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  II;£apki;LKy-6/2-4;600000
243;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Stempel;LKs-6/3-4;500000
244;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-6/3/2-12;600000
245;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wypychacz;LKw-6/3-25;500000
246;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  III;£apki;LKy-6/3-4;600000
247;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-6/3/1-23;400000
248;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-6/4/2-25;50000
249;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);"Wypychacz (bary³ki ""E"")";LKw-6/4/1-6;500000
250;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);£apki (walc. I bar.);LKy-6/4/1-2;300000
251;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-6/5/1-1;25000
252;RS-22218 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki C);LKs-6/5/6-3;40000
253;RS-22219 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-6A/5-26;500000
254;RS-22219 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-6-5;500000
255;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Gniazdo;LKm-6/1/3-16;300000
256;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-6/1/2-16;300000
257;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Stempel;LKs-6/1-25C;200000
258;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wypychacz;LKw-6/1-17;500000
259;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-6/1-16;300000
260;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Gniazdo;LKm-6/2/2-39;120000
261;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-6/2/1-31;300000
262;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Stempel;LKs-6/2-26;500000
263;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wypychacz;LKw-6/1-17;500000
264;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  II;£apki;LKy-6/2-16;600000
265;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Stempel;LKs-6/3-36;500000
266;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-6/3/2-21;300000
267;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wypychacz;LKw-6/3-25;500000
268;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  III;£apki;LKy-6/3-5;600000
269;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-6/3/1-33;300000
270;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-6/4/2-21;70000
271;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);"Wypychacz (bary³ki ""E"")";LKw-6/4/1-3;400000
272;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);£apki (walc. I bar.);LKy-6/4/1-25;300000
273;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-6/5/1-8B;40000
274;RS-22219 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki C);LKs-6/5/6-11;60000
275;RS-22310 CE;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-2;500000
276;RS-22310 CE;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-2;500000
277;RS-22310 CE;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5-1-1;1000000
278;RS-22310 CE;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5-1-2-2;150000
279;RS-22310 CE;NP-440R;Kucie - Stanowisko  I;Stempel;LKS-5-1-2C;210000
280;RS-22310 CE;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5-1-3-34;176000
281;RS-22310 CE;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKY-5-1-22;300000
282;RS-22310 CE;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5-1-1;1000000
283;RS-22310 CE;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5-2-1-2;146000
284;RS-22310 CE;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-2;1000000
285;RS-22310 CE;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5-2-2-34;110000
286;RS-22310 CE;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-23;600000
287;RS-22310 CE;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5-3-1-35;150000
288;RS-22310 CE;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5-3-2-23;600000
289;RS-22310 CE;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-23;600000
290;RS-22310 CE;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5-3-37;1000000
291;RS-22310 CE;NP-440R;Kucie - Stanowisko  III;G³ówka wypychacza;LKw-5-3-2-32;1000000
292;RS-22310 CE;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5-3-36;600000
293;RS-22310 CE;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5-4-2-29;40000
294;RS-22310 CE;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5-4-29;500000
295;RS-22310 CE;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5-4-2-29;500000
296;RS-22310 CE;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKY-5-4-2;300000
297;RS-22310 CE;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKm-5-4-2-29;40000
298;RS-22310 CE;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5-5-30;40000
299;RS-22313 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-6A/5-38;500000
300;RS-22313 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-6-31;500000
301;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Gniazdo;LKm-6/1/3-39;300000
302;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-6/1/2-41;300000
303;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Stempel;LKs-6/1-38C;100000
304;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wypychacz;LKw-6/1-4;500000
305;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-6/1-31;300000
306;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Gniazdo;LKm-6/2/2-41B;300000
307;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-6/2/1-33;300000
308;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Stempel;LKs-6/2-37;100000
309;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wypychacz;LKw-6/1-4;500000
310;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  II;£apki;LKy-6/2-31;600000
311;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Stempel;LKs-6/3-39B;400000
312;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-6/3/2-24C;100000
313;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wypychacz;LKw-6/1-4;500000
314;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  III;£apki;LKy-6/3-31;600000
315;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-6/3/1-36C;150000
316;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-6/4/2-24;40000
317;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);"Wypychacz (bary³ki ""E"")";LKw-6/4/1-4;150000
318;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);£apki (walc. I bar.);LKy-6/4/1-12;300000
319;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-6/5/1-11;30000
320;RS-22313 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki C);LKs-6/5/6-14;20000
321;RS-22314 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-6A/5-17;500000
322;RS-22314 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-6-15;500000
323;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Gniazdo;LKm-6/1/3-42;300000
324;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-6/1/2-44;300000
325;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Stempel;LKs-6/1-41C;100000
326;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  I;Wypychacz;LKw-6/1-16;500000
327;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-6/1-34;300000
328;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Gniazdo;LKm-6/2/2-44B;300000
329;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-6/2/1-36;300000
330;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Stempel;LKs-6/2-40;70000
331;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  II;Wypychacz;LKw-6/1-16;500000
332;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  II;£apki;LKy-6/2-35;600000
333;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Stempel;LKs-6/3-42;300000
334;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-6/3/2-27X;150000
335;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wypychacz;LKw-6/1-16;500000
336;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  III;£apki;LKy-6/3-36;600000
337;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-6/3/1-39X;200000
338;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-6/4/2-28;30000
339;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);"Wypychacz (bary³ki ""E"")";LKw-6/4/1-8;150000
340;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko IV (matrycowe);£apki (walc. I bar.);LKy-6/4/1-28;300000
341;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-6/5/1-14;20000
342;RS-22314 E/VX5A1;NP-460R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki C);LKs-6/5/6-17;30000
343;RS-22316 E;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-6A-5-39;500000
344;RS-22316 E;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-6-9;500000
345;RS-22316 E;NP-460R;Kucie - Stanowisko  I;Gniazdo;LKm-6-1-3-41;300000
346;RS-22316 E;NP-460R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-6-1-2-43;300000
347;RS-22316 E;NP-460R;Kucie - Stanowisko  I;Stempel;LKs-6-1-39C;100000
348;RS-22316 E;NP-460R;Kucie - Stanowisko  I;Wypychacz;LKw-6-1-2;500000
349;RS-22316 E;NP-460R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-6-1-9;300000
350;RS-22316 E;NP-460R;Kucie - Stanowisko  II;Gniazdo;LKm-6-2-2-43B;300000
351;RS-22316 E;NP-460R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-6-2-1-35;300000
352;RS-22316 E;NP-460R;Kucie - Stanowisko  II;Stempel;LKs-6-2-38;70000
353;RS-22316 E;NP-460R;Kucie - Stanowisko  II;Wypychacz;LKw-6-1-2;500000
354;RS-22316 E;NP-460R;Kucie - Stanowisko  II;£apki;Lky-6-2-33;600000
355;RS-22316 E;NP-460R;Kucie - Stanowisko  III;Stempel;LKs-6-3-41;300000
356;RS-22316 E;NP-460R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-6-3-2-25B;150000
357;RS-22316 E;NP-460R;Kucie - Stanowisko  III;Wypychacz;LKw-6-1-5;500000
358;RS-22316 E;NP-460R;Kucie - Stanowisko  III;£apki;Lky-6-3-34;600000
359;RS-22316 E;NP-460R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-6-3-1-37;200000
360;RS-22316 E;NP-460R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-6-4-2-27;30000
361;RS-22316 E;NP-460R;Kucie - Stanowisko IV (matrycowe);"Wypychacz (bary³ki ""E"")";LKw-6-4-1-7;150000
362;RS-22316 E;NP-460R;Kucie - Stanowisko IV (matrycowe);£apki (walc. I bar.);Lky-6-4-1-26;300000
363;RS-22316 E;NP-460R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-6-5-1-13X;20000
364;RS-22316 E;NP-460R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki C);LKs-6-5-6-16;30000
365;RS-229856/VX430A;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-6A/5-41;500000
366;RS-229856/VX430A;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-6-31;500000
367;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  I;Gniazdo;LKm-6/1/3-43;300000
368;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-6/1/2-45;250000
369;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  I;Stempel;LKs-6/1-42C;50000
370;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  I;Wypychacz;LKw-6/1-4;500000
371;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-6/1-31;300000
372;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  II;Gniazdo;LKm-6/2/2-45;200000
373;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-6/2/1-37;250000
374;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  II;Stempel;LKs-6/2-41B;250000
375;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  II;Wypychacz;LKw-6/1-4;500000
376;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  II;£apki;LKy-6/2-36;600000
377;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  III;Stempel;LKs-6/3-43B;400000
378;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-6/3/2-28;300000
379;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  III;Wypychacz;LKw-6/3-15;500000
380;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  III;£apki;LKy-6/3-37;600000
381;RS-229856/VX430A;NP-460R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-6/3/1-40;300000
382;RS-229856/VX430A;NP-460R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-6/4/2-29;40000
383;RS-229856/VX430A;NP-460R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-6/4-43;150000
384;RS-229856/VX430A;NP-460R;Kucie - Stanowisko IV (matrycowe);£apki (walc. I bar.);LKy-6/4/1-29;300000
385;RS-229856/VX430A;NP-460R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-6/5/1-15;30000
386;RS-229856/VX430A;NP-460R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki C);LKs-6/5/6-18;20000
387;RS-22208 CE;HSRH-500;Kucie;Gniazdo;LKs-4/7-2;150000
388;RS-22208 CE;HSRH-500;Kucie;Wk³adka matrycy;LKm-4/7-4;35000
389;RS-22208 CE;HSRH-500;Kucie;Wypychacz;LKw-4-28;1000000
390;RS-22208 CE;HSRH-500;Kucie;Tulejka tn¹ca;LKt-4-20;500000
391;RS-22208 CE;HSRH-500;Kucie;Nó¿ ucinaj¹cy;LKn-4-19;500000
392;RS-22208 CE;HSRH-500;Kucie;Wbijak ucinka;LKu-4-18;300000
393;RS-22208 CE;HSRH-500;Kucie;Wypychacz stempla;LKs-4/4-16;100000
394;RS-22210 CE;HSRH-500;Kucie;Gniazdo;LKs-4/7-1;300000
395;RS-22210 CE;HSRH-500;Kucie;Wk³adka matrycy;LKm-4/7-3;50000
396;RS-22210 CE;HSRH-500;Kucie;Wypychacz;LKw-4-24;1000000
397;RS-22210 CE;HSRH-500;Kucie;Tulejka tn¹ca;LKt-4-10;500000
398;RS-22210 CE;HSRH-500;Kucie;Nó¿ ucinaj¹cy;LKn-4-22;500000
399;RS-22210 CE;HSRH-500;Kucie;Wbijak ucinka;LKu-4-22;300000
400;RS-22210 CE;HSRH-500;Kucie;Wypychacz stempla;LKs-4/4-15;100000
401;RS-22213 CE;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - obudowa;LKn-8/1-3;2000000
402;RS-22213 CE;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - spiek;LKn-8/2-18;150000
403;RS-22213 CE;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec dolny;Lky-8/1-4;120000
404;RS-22213 CE;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec górny;Lky-8/2-29;120000
405;RS-22213 CE;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca prosta- obudowa;LKt-8/4-2;3000000
406;RS-22213 CE;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca - spiek prosty;LKt-8/5-15;300000
407;RS-22213 CE;NAT-161;Kucie - zestaw stempela i martycy;wypychacz;LKw-8/3-8;190000
408;RS-22213 CE;NAT-161;Kucie - zestaw stempela i martycy;tuleja plastikowa;LKw-8_1B-8PU;350000
409;RS-22213 CE;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka;LKm-8/4/1-3;25000
410;RS-22214 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - obudowa;LKn-8/1-4;2000000
411;RS-22214 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - spiek;LKn-8/2-27;95000
412;RS-22214 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec dolny;Lky-8/1-4;120000
413;RS-22214 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec górny;Lky-8/2-29;130000
414;RS-22214 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca prosta- obudowa;LKt-8/4-2;3000000
415;RS-22214 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca - spiek prosty;LKt-8/5-15;300000
416;RS-22214 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;wypychacz;LKw-8/3-10;400000
417;RS-22214 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;tulejka plastikowa;LKw-8_1B-10PU;350000
418;RS-22214 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;stempel dla konstrukcji E;LKs-8/3/1-34B;15500
419;RS-22214 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka stemplowa monolit;LKs-8/9-6A;57000
420;RS-22214 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka matrycowa monolit;LKm-8/8-6;45000
421;RS-22215 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - obudowa;LKn-8/1-4;2000000
422;RS-22215 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - spiek;LKn-8/2-27;95000
423;RS-22215 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec dolny;Lky-8/1-4;120000
424;RS-22215 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec górny;Lky-8/2-29;130000
425;RS-22215 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca prosta- obudowa;LKt-8/4-2;3000000
426;RS-22215 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca - spiek prosty;LKt-8/5-15;300000
427;RS-22215 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;wypychacz;LKw-8/3-11;400000
428;RS-22215 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;tulejka plastikowa;LKw-8_1B-11PU;350000
429;RS-22215 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;stempel dla konstrukcji E;LKs-8/3/1-29A;15500
430;RS-22215 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka stemplowa monolit;LKs-8/9-2;57000
431;RS-22215 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka matrycowa monolit;LKm-8/8-2;45000
432;RS-22216 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - obudowa;LKn-8/1-4;2000000
433;RS-22216 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;nó¿ - spiek;LKn-8/2-24;95000
434;RS-22216 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec dolny;Lky-8/1-4;120000
435;RS-22216 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;palec górny;Lky-8/2-4;130000
436;RS-22216 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca prosta- obudowa;LKt-8/4-2;3000000
437;RS-22216 E/VX5A1;NAT-161;Kucie - Ciêcie  i  podawanie  materia³u;tuleja tn¹ca - spiek prosty;LKt-8/5-16;150000
438;RS-22216 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;wypychacz;LKw-8/3-13;400000
439;RS-22216 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;tulejka plastikowa;LKw-8/1B-13PU;350000
440;RS-22216 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;stempel dla konstrukcji E;LKs-8/3/1-26B;15500
441;RS-22216 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka stemplowa monolit;LKs-8/9-4;57000
442;RS-22216 E/VX5A1;NAT-161;Kucie - zestaw stempela i martycy;Wk³adka matrycowa monolit;LKm-8/8-4;45000
443;RS-22210 CC/VX581A46;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5A-5-19;
444;RS-22210 CC/VX581A46;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5A-4;
445;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5-1-4;
446;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5-1-2-22;
447;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5-1-19;
448;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5-1-3-19;
449;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  I;£apki stanowisko 1;Lky-5-1-4;
450;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5-1-4;
451;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  II;Wkladka stanowisko 2 (walc.bar);LKm-5-2-1-20;
452;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5-2-4;
453;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5-2-2-19;
454;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  II;£apki stanowisko 2;LKy-5-2-4;
455;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5-3-1-19;
456;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5-3-2-9;
457;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  III;£apki stanowisko 3;LKY5-3-4;
458;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5-3-36;
459;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5-3-4;
460;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5-4-2-24;
461;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5-4-27;
462;RS-22210 CC/VX581A46;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki podaj¹ce - stanowisko IV;LKy-5-4-4;
